method,substeps,dt,scenario,delta,dtype,status,first_failure_time,completed_steps,completed_time,forward_seconds,diagnostic_wall_seconds,min_determinant,min_variance,nonfinite_modes,nonpositive_diagonals,uncertainty_violations,n_x,n_x_sem,n_y,n_y_sem,n_z,n_z_sem,comparison_time,trajectory_mean_rms,terminal_mean_rms,covariance_rms,covariance_max_abs,Vxx_max_abs,Vpp_max_abs,Cxp_max_abs,paired_n_x,paired_n_x_sem,paired_n_y,paired_n_y_sem,paired_n_z,paired_n_z_sem,role,reference_valid,reference_trajectory_mean_rms,reference_covariance_max_abs,trajectory_error_above_reference_floor
platen,128,7.8125e-05,seeded_policy,1.0,float64,ok,,38400,3.0,5.807134984526783,8.995794957969338,18.255104690852846,3.6380192274751795,0,0,0,5.183867883369894,0.19323411339678678,5.1381991154943885,0.1317641351217432,5.25575913164904,0.25893514475042717,3.0,0.0004950279274858211,0.0006290954383394869,4.423759594800648e-05,0.0003377956310686159,0.00030706133370461686,0.0003377956310686159,0.0002960389586978973,9.098685480906865e-05,6.911663129309895e-05,-0.00011873468388703735,5.323329584266935e-05,-3.224436311597079e-05,1.7370798055553738e-05,reference_halving_check,,,,
platen,256,3.90625e-05,seeded_policy,1.0,float64,ok,,76800,3.0,11.319663781439885,16.49796987499576,18.25509671997205,3.6379738722015365,0,0,0,5.183776896515083,0.19323691657633058,5.138317850178275,0.13175494877540167,5.255791376012158,0.25893986457866924,,,,,,,,,,,,,,,finer_reference,,,,
euler_maruyama,1,0.01,seeded_policy,1.0,float32,nonfinite,0.43,88,0.87,0.023988662753254175,0.3736159580294043,-5497558138880.0,-inf,1,5894,7778,-8.846762955841756e+19,8.846762795787266e+19,12.408544848353431,1.0891789181697196,5.229511968827482,0.13309730449111973,0.87,1324848321.396835,12428178890.647997,8.347517392938165e+20,4.108787062437434e+23,4.108787062437434e+23,1.0137260487639306e+23,2.0408782287369782e+23,-8.846762955841756e+19,8.846762795787266e+19,7.431232339639165,1.051034384793447,0.09778817456261307,0.0067473326684597025,candidate,True,0.0004950279274858211,0.0003377956310686159,True
euler_maruyama,2,0.005,seeded_policy,1.0,float32,nonfinite,0.775,297,1.48,0.03580353083088994,0.5420256670331582,-4398046511104.0,-inf,1,11797,16518,-1.6232591026314488e+26,1.623259102631516e+26,10.761781156343217,0.4762623294602936,5.314731806174568,0.1761061414290716,1.48,2328609605075.5327,28424302651686.184,2.856825701486118e+27,1.9664706236036482e+30,1.9664706236036482e+30,2.3230918778053588e+29,6.758913851648802e+29,-1.6232591026314488e+26,1.623259102631516e+26,5.7476242294264965,0.3834657281861802,0.1252827236369359,0.009204820449211407,candidate,True,0.0004950279274858211,0.0003377956310686159,True
euler_maruyama,4,0.0025,seeded_policy,1.0,float32,nonfinite,1.4675,1056,2.63,0.10144512169063091,1.0763179999776185,-390305153024.0,-inf,1,22194,34050,169.282643567074,151.56645578281538,11.597243842018566,0.49721892423097297,5.4677953720057975,0.27919944984368167,2.63,2.763676528048778,41.133476462543584,3731.940336609951,3464339.5577228195,324961.52257121267,3464339.5577228195,1062487.518359536,164.14432071857556,151.60548953853197,6.497915219690215,0.42093986266607186,0.1761592890851479,0.012962241720313884,candidate,True,0.0004950279274858211,0.0003377956310686159,True
euler_maruyama,8,0.00125,seeded_policy,1.0,float32,ok,,2400,3.0,0.19983595190569758,1.3951407909626141,3.719271183013916,0.5888498425483704,0,0,0,8.997158453748524,0.4503899452897587,7.792716270890228,0.2716597044570101,5.360188349559201,0.26561386939612824,3.0,0.5194134676901767,1.0819598376411896,0.1587954789756441,3.7130043693654686,3.7130043693654686,3.340367288417159,3.1398566357205993,3.81329057037863,0.30381570947206415,2.6545171553958404,0.1692632697909048,0.10442921791015965,0.007213966754988632,candidate,True,0.0004950279274858211,0.0003377956310686159,True
euler_maruyama,16,0.000625,seeded_policy,1.0,float32,ok,,4800,3.0,0.4025140422163531,1.7847930829739198,17.9346923828125,3.522594690322876,0,0,0,6.521894657249936,0.2727878706998252,6.162580454101564,0.17907738535811799,5.307026912231143,0.26224678098085064,3.0,0.2261644832571035,0.45214989612216755,0.0419536319578046,0.5538510271184593,0.5538510271184593,0.5207704613869772,0.5149069349293798,1.3380267738800433,0.10176142677057302,1.0243813386071767,0.06307517542623908,0.051267780582102504,0.0035787267540936113,candidate,True,0.0004950279274858211,0.0003377956310686159,True
euler_maruyama,32,0.0003125,seeded_policy,1.0,float32,ok,,9600,3.0,0.7364656551508233,2.3598370829131454,18.21202278137207,3.6143813133239746,0,0,0,5.757178322532461,0.22535346086443017,5.593537786767803,0.15108315328177002,5.281235904149606,0.26059350916216656,3.0,0.10612057857002032,0.208234287172944,0.016951923969784736,0.174081680355747,0.17173661671806872,0.174081680355747,0.16678336885869166,0.5733104391625675,0.042555778096040185,0.45533867127341554,0.02735934697378282,0.025476772500564845,0.001777613564489817,candidate,True,0.0004950279274858211,0.0003377956310686159,True
euler_maruyama,64,0.00015625,seeded_policy,1.0,float32,ok,,19200,3.0,1.4467999937478453,3.6502330839866772,18.239028930664062,3.6260128021240234,0,0,0,5.450669559760357,0.20786921079076823,5.353316547784071,0.1405678375766282,5.2684133613760125,0.25975948715779196,3.0,0.051445630784451274,0.10005474063430561,0.007759952164113008,0.07663476186819818,0.07079523223906392,0.07663476186819818,0.07143771582389602,0.26680167639046465,0.019615975562436567,0.21511743228968105,0.012800683212263828,0.012654229726970403,0.0008795173287864687,candidate,True,0.0004950279274858211,0.0003377956310686159,True
platen,1,0.01,seeded_policy,1.0,float32,ok,,300,3.0,0.0865235134260729,1.1750148331047967,18.183488845825195,3.6231658458709717,0,0,0,5.421809467747255,0.21034139193835236,5.264066054058923,0.1417084994309644,5.257754415425853,0.25880351052880374,3.0,0.23017174425655307,0.43432162878984665,0.05933163914880201,0.5667188507815224,0.5667188507815224,0.5513171891386399,0.5370018953571402,0.23794158437736254,0.026443658733534017,0.12586693856453587,0.022001799166793096,0.0019952837768123246,0.00195295669029029,candidate,True,0.0004950279274858211,0.0003377956310686159,True
platen,2,0.005,seeded_policy,1.0,float32,ok,,600,3.0,0.151043489924632,1.3430933749768883,18.255104064941406,3.623619794845581,0,0,0,5.216335287244479,0.19314410115236713,5.16658878844988,0.13545612918960134,5.256261137256156,0.2583392240098287,3.0,0.06484571009154684,0.11330004848488813,0.014429600019269054,0.14617939700792615,0.14183865965957665,0.14617939700792615,0.14263838079042784,0.03246740387458654,0.008549570198269976,0.028389672955491947,0.007431374829330784,0.0005020056071156109,0.00102194657240641,candidate,True,0.0004950279274858211,0.0003377956310686159,True
platen,4,0.0025,seeded_policy,1.0,float32,ok,,1200,3.0,0.22433660819660872,1.3708359169540927,18.25547981262207,3.632747173309326,0,0,0,5.190948254480138,0.1924183352352294,5.145028828124985,0.1321756171182417,5.256056982675223,0.2588498856282055,3.0,0.02266332526368909,0.03412967233905033,0.0038976427037780664,0.036872584721549195,0.03474815991390745,0.036872584721549195,0.03578695576854102,0.007080371110245841,0.00306624479945159,0.006829712630597354,0.0020522495313180164,0.0002978510261819466,0.0007283648059246351,candidate,True,0.0004950279274858211,0.0003377956310686159,True
platen,8,0.00125,seeded_policy,1.0,float32,ok,,2400,3.0,0.40872225211933255,1.612576249986887,18.255491256713867,3.636509656906128,0,0,0,5.185822522545666,0.1935047212472286,5.1392206835498975,0.13144561194776497,5.255605919611358,0.2589715391320687,3.0,0.009563625901428568,0.012850478151356261,0.0012025048855680536,0.011670162125247963,0.011006437806973857,0.011670162125247963,0.011129043216184298,0.0019546391757731853,0.001558930042015988,0.0010215680555099636,0.001333484274447062,-0.00015321203768280724,0.000374294868358409,candidate,True,0.0004950279274858211,0.0003377956310686159,True
